Keuwl Accelerometer Data File
2019-06-26 17-29-22

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
3.5296979,5.189432,8.376115,0.027533,9.853439,89.839897,58.219666
3.5397911,5.213374,8.385692,0.013168,9.874172,89.923592,58.130836
3.5496051,5.227739,8.418014,0.004788,9.909200,89.972313,58.158966
3.5616219,5.270835,8.421604,-0.026336,9.935080,90.151878,57.958759
3.5696309,5.298368,8.376115,-0.027533,9.911244,90.159164,57.684322
3.5796030,5.334281,8.282741,0.046687,9.851931,89.728485,57.217503
3.5895700,5.334281,8.276755,0.130484,9.847652,89.240791,57.198647
3.6000159,5.366603,8.303091,0.186748,9.888206,88.917854,57.123878
3.6096168,5.372589,8.331821,0.162806,9.915163,89.059166,57.184959
3.6198277,5.384560,8.347384,0.077812,9.933699,89.551193,57.175575
3.6297209,5.407305,8.356961,0.002394,9.953781,89.986221,57.095436
3.6396301,5.421670,8.365341,0.002394,9.968623,89.986237,57.052284
3.6494970,5.453991,8.379706,0.063446,9.998477,89.636421,56.941624
3.6602728,5.457583,8.355764,0.159214,9.981451,89.086037,56.849365
3.6696529,5.442020,8.342596,0.180762,9.962287,88.960327,56.882889
3.6808927,5.391742,8.322245,0.165200,9.917557,89.045563,57.061962
3.6894820,5.352238,8.297106,0.128090,9.874453,89.256744,57.175037
3.6997859,5.420473,8.259995,0.128090,9.880559,89.257210,56.725838
3.7099528,5.559336,8.251616,0.272939,9.953385,88.428658,56.030792
3.7201309,5.785588,8.340201,0.477643,10.161699,87.305862,55.250999
3.7310159,6.011840,8.432379,0.697910,10.379514,86.144569,54.513138
