Keuwl Accelerometer Data File
2019-06-26 17-08-48

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
2.0399399,4.029441,8.834604,-1.017536,9.763299,95.982254,65.482391
2.0499299,4.037821,8.848969,-1.011550,9.779136,95.937271,65.472588
2.0598869,4.052186,8.871715,-1.021127,9.806643,95.976814,65.451286
2.0706229,4.054581,8.895657,-1.023521,9.829543,95.976875,65.496819
2.0798941,4.052186,8.913613,-1.027112,9.845185,95.988358,65.553146
2.0897810,4.042610,8.919599,-1.024718,9.846419,95.973595,65.618645
2.0996900,4.030639,8.902839,-1.035492,9.827453,96.048332,65.642006
2.1097829,4.001908,8.888474,-1.022324,9.801294,95.987129,65.761024
2.1198440,3.994725,8.883685,-1.024718,9.794271,96.005516,65.787987
2.1296828,4.015076,8.890868,-1.024718,9.809099,95.996407,65.696281
2.1397018,4.010288,8.890868,-1.034295,9.808145,96.053246,65.721916
2.1500108,4.015076,8.893262,-1.022324,9.811019,95.981171,65.702065
2.1598039,4.005499,8.899248,-1.023521,9.812657,95.987198,65.767769
2.1705399,3.986346,8.878897,-1.023521,9.786386,96.003326,65.821419
2.1798248,3.961207,8.852561,-1.024718,9.752386,96.031410,65.893181
2.1898060,3.952827,8.858546,-1.041478,9.756196,96.128021,65.952797
2.1999819,3.974375,8.882488,-1.061828,9.788857,96.227310,65.894379
2.2107158,4.010288,8.905233,-1.071405,9.825147,96.260399,65.756561
2.2200267,4.046201,8.917204,-1.059434,9.849400,96.174873,65.593727
2.2300301,4.064157,8.908825,-1.054646,9.848696,96.147293,65.477783
2.2400680,4.070143,8.900445,-1.048660,9.842950,96.115852,65.425545
2.2498369,4.084508,8.890868,-1.035492,9.838851,96.041298,65.325722
2.2599709,4.089296,8.904037,-1.017536,9.850867,95.928886,65.332420
2.2700448,4.116830,8.901642,-1.019930,9.860415,95.937111,65.180412
2.2798150,4.151546,8.887277,-1.035492,9.863633,96.026062,64.961143
2.2898419,4.176685,8.871715,-1.037886,9.860488,96.041977,64.789566
2.2998331,4.195838,8.871715,-1.051055,9.870009,96.113007,64.688400
2.3099039,4.201824,8.881291,-1.055843,9.881674,96.133682,64.680717
2.3198180,4.213795,8.906430,-1.041478,9.907838,96.033882,64.680313
2.3300390,4.230555,8.924387,-1.036689,9.930609,95.992218,64.636978
2.3398130,4.217386,8.907627,-1.057040,9.912088,96.121750,64.664413
2.3497229,4.159925,8.875306,-1.045069,9.857393,96.085869,64.887146
2.3598771,4.101267,8.883685,-1.043872,9.840219,96.089523,65.218987
2.3696969,4.024653,8.956709,-0.987608,9.868933,95.743340,65.803467
2.3797040,4.005499,9.187749,-0.912191,10.064336,95.200195,66.444679
2.3896880,3.931279,9.393650,-0.767342,10.211975,94.309341,67.290497
2.4005558,3.828329,9.506178,-0.653617,10.268921,93.649345,68.064362
2.4100420,3.775656,9.542090,-0.663194,10.283331,93.697693,68.412071
2.4198980,3.696647,9.566033,-0.705092,10.279657,93.933067,68.871735
2.4299488,3.645172,9.563639,-0.811634,10.266899,94.534164,69.135704
2.4398048,3.661932,9.525331,-0.889446,10.243671,94.981201,68.971176
2.4498899,3.689465,9.429564,-0.985214,10.173470,95.557320,68.631302
2.4598100,3.688268,9.242816,-1.104924,10.012683,96.335632,68.245949
2.4699500,3.685874,9.060856,-1.066617,9.839840,96.222961,67.863960
2.4808278,3.754108,8.857349,-1.047463,9.676939,96.214058,67.030777
2.4898748,3.754108,8.857349,-1.047463,9.676939,96.214058,67.030777
2.4998209,3.882198,8.846576,-1.151611,9.729316,96.797752,66.306389
2.5098240,3.982754,8.808268,-1.284489,9.751811,97.568878,65.669373
2.5211320,4.128801,8.443152,-1.383849,9.499940,98.376030,63.940823
2.5300229,4.316746,8.276755,-1.362301,9.433707,98.302986,62.455685
2.5398121,4.566940,8.184579,-1.210269,9.450345,97.357857,60.838776
2.5506029,4.823119,8.201338,-1.055843,9.572838,96.332359,59.540668
2.5602980,5.045780,8.275558,-0.937330,9.737728,95.523705,58.628468
2.5700338,5.225345,8.385692,-0.787692,9.911837,94.558098,58.071880
2.5804789,5.311536,8.418014,-0.769736,9.983379,94.421989,57.749195
2.5899169,5.333084,8.434772,-0.784101,10.010095,94.492638,57.695911
2.5999558,5.210980,8.432379,-0.778116,9.943077,94.488388,58.285069
2.6106770,5.024232,8.455123,-0.800860,9.867796,94.655190,59.280224
2.6198308,4.847061,8.501810,-0.895431,9.827338,95.227837,60.311626
2.6298599,4.774038,8.588001,-0.990002,9.875490,95.753479,60.930477
2.6400058,4.701015,8.667010,-1.040281,9.914575,96.022812,61.524448
2.6499820,4.617218,8.683769,-1.082179,9.894324,96.279213,62.000122
2.6600478,4.544195,8.667010,-1.139640,9.852185,96.642494,62.331558
2.6698728,4.430470,8.627506,-1.164779,9.768298,96.848289,62.818207
2.6802208,4.355053,8.586804,-1.182736,9.700441,97.003265,63.106800
2.6899698,4.259285,8.550891,-1.161188,9.623284,96.930450,63.521641
2.7005849,4.222175,8.610746,-1.121683,9.655562,96.671097,63.879539
2.7107890,4.261679,8.700529,-1.106121,9.751134,96.513374,63.903538
2.7198877,4.344279,8.755595,-1.079785,9.833572,96.304131,63.610691
2.7305629,4.418499,8.780735,-1.041478,9.884793,96.048004,63.288284
2.7398860,4.454412,8.741230,-0.994791,9.861060,95.789886,62.997223
2.7503469,4.425682,8.689755,-0.927753,9.795878,95.434540,63.010311
