Keuwl Accelerometer Data File
2019-06-26 17-45-19

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.2502741,6.568492,-5.698200,1.939303,8.909291,77.427666,319.058197
1.2600369,6.848614,-6.215348,2.086547,9.480914,77.286346,317.775208
1.2700540,6.708553,-6.702568,2.451663,9.794884,75.504715,315.025574
1.2800260,6.670246,-6.980295,2.658761,10.014276,74.603508,313.698853
1.2901649,7.115568,-6.901287,1.802834,10.075181,79.692085,315.875824
1.3000981,7.371747,-6.398504,1.277307,9.844543,82.544991,319.042786
1.3102640,7.417237,-5.864597,1.370680,9.554458,81.751900,321.667603
1.3200710,7.454347,-5.610812,1.328782,9.424127,81.894409,323.031586
1.3302490,7.436390,-5.729325,1.183933,9.461858,82.811920,322.387756
1.3402179,7.170634,-5.990293,1.206678,9.421129,82.641220,320.124878
1.3503019,6.760028,-6.046556,1.236605,9.153580,82.235870,318.188721
1.3603420,6.793547,-5.912481,0.712275,9.034216,85.477997,318.966675
1.3702749,7.212533,-5.754464,0.264559,9.230627,88.357620,321.415649
1.3800280,7.641095,-5.562928,0.375890,9.459059,87.722549,323.944336
1.3905610,7.945158,-5.351041,0.757765,9.609027,85.476974,326.039856
1.4002150,8.133103,-5.177461,0.995988,9.692547,84.101982,327.519531
1.4101180,8.052897,-4.869806,1.031901,9.467258,83.742508,328.837494
1.4201800,7.720103,-4.350265,0.944513,8.911616,83.915985,330.598816
1.4301970,7.322666,-3.895366,0.810437,8.333794,84.419334,331.988800
1.4401380,7.010222,-3.750517,0.729034,7.983801,84.760780,331.852905
1.4503800,6.949171,-3.945644,0.681150,8.020165,85.128014,330.412689
1.4601899,7.181408,-4.238934,0.812831,8.378656,84.432861,329.448120
1.4701780,7.497443,-4.407725,1.090559,8.765216,82.852798,329.548859
1.4802480,7.746439,-4.234146,1.519121,8.957849,80.236282,331.339325
1.4901680,7.711724,-3.779247,1.601721,8.736070,79.435303,333.892120
1.5002509,7.281964,-3.154361,1.411382,8.060334,79.915398,336.578979
1.5105319,6.819883,-2.616863,0.763750,7.344528,84.031075,339.007660
1.5200679,6.585252,-2.290054,0.061052,6.972346,89.498291,340.824615
1.5300850,6.587646,-2.269703,-0.526724,6.987566,94.323067,340.989166
1.5405899,6.713342,-2.318784,-0.730232,7.139955,95.870132,340.945129
1.5505660,6.854599,-2.236184,-0.515950,7.228572,94.093056,341.932068
1.5604140,6.994660,-1.917756,-0.181959,7.255079,91.437141,344.667755
1.5702420,7.048530,-1.477222,-0.106542,7.202452,90.847580,348.163330
1.5802269,7.042544,-1.090559,-0.202310,7.129354,91.626106,351.197479
1.5903989,7.127539,-0.912191,-0.616507,7.212072,94.903778,352.706879
1.6004280,7.258022,-0.769736,-0.988805,7.365400,97.715256,353.946228
1.6102289,7.371747,-0.671574,-1.004368,7.470102,97.726913,354.794678
1.6202279,7.439982,-0.496797,-0.764947,7.495684,95.857330,356.179810
1.6303300,7.507020,-0.114922,-0.574608,7.529855,94.376534,359.122955
1.6401309,7.530962,0.474052,-0.393846,7.556138,92.987762,3.601849
