Keuwl Accelerometer Data File
2019-06-27 16-05-18

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.5202360,0.669179,7.881712,5.779603,9.796580,53.845737,85.147064
1.5308859,0.663194,7.872135,5.707777,9.746233,54.151833,85.184448
1.5403430,0.713472,7.945158,5.629965,9.763764,54.786957,84.868622
1.5500559,0.779313,8.051701,5.548563,9.809371,55.553326,84.471642
1.5600460,0.822408,8.135497,5.482722,9.844943,56.157806,84.227646
1.5700480,0.829591,8.147469,5.455189,9.840150,56.331932,84.186073
1.5800810,0.796072,8.075643,5.479131,9.791353,55.972641,84.370148
1.5908159,0.746991,7.967903,5.493496,9.706903,55.532619,84.644173
1.6008230,0.721852,7.900866,5.519832,9.665055,55.172173,84.779739
1.6102020,0.754174,7.902063,5.562928,9.693170,54.977238,84.548203
1.6203150,0.799663,7.952341,5.590461,9.753586,55.028439,84.257813
1.6301130,0.830788,7.995437,5.613206,9.804351,55.073727,84.067810
1.6407830,0.799663,7.990648,5.620389,9.801973,55.012787,84.285156
1.6500009,0.706290,7.953538,5.620389,9.764546,54.858944,84.925339
1.6610340,0.676362,7.929596,5.607220,9.735341,54.832729,85.124702
1.6700290,0.705092,7.973889,5.597643,9.767992,55.036129,84.946754
1.6801000,0.780510,8.036138,5.598841,9.825259,55.260826,84.452545
1.6903609,0.842759,8.105570,5.565322,9.868299,55.669926,84.064125
1.7014539,0.884658,8.131907,5.510255,9.862730,56.034424,83.791298
1.7101460,0.897826,8.154651,5.510255,9.882679,56.112297,83.717049
1.7208349,0.875081,8.149862,5.513846,9.878691,56.071659,83.871422
1.7299260,0.829591,8.137892,5.538986,9.878961,55.896809,84.179276
1.7398649,0.778116,8.103176,5.544971,9.849549,55.738766,84.514931
1.7499670,0.731429,8.093599,5.542577,9.836741,55.704819,84.836136
1.7598699,0.724246,8.112753,5.546168,9.853998,55.747963,84.898582
1.7700009,0.724246,8.143877,5.524621,9.867558,55.952694,84.917976
1.7798719,0.767342,8.152257,5.505467,9.867030,56.084755,84.622803
1.7899950,0.776918,8.116343,5.500679,9.835451,55.994633,84.532150
1.7999189,0.790087,8.087613,5.498284,9.811465,55.916962,84.420425
1.8099689,0.787692,8.064868,5.492299,9.789173,55.870972,84.421638
1.8199790,0.780510,8.097190,5.480328,9.808551,56.032013,84.494118
1.8299769,0.781707,8.169016,5.483919,9.870018,56.246994,84.533913
1.8401500,0.811634,8.265982,5.481525,9.951498,56.576431,84.392120
1.8499459,0.828394,8.295909,5.489904,9.982353,56.635666,84.297592
1.8600669,0.799663,8.234857,5.530606,9.951880,56.238663,84.453560
1.8698790,0.707487,8.118738,5.559336,9.865124,55.699421,85.019684
1.8804699,0.632069,8.036138,5.602432,9.816631,55.200378,85.502754
1.8899360,0.629675,8.033744,5.609614,9.818621,55.157391,85.518387
1.8999360,0.659603,8.094796,5.589264,9.859040,55.464436,85.341560
1.9098790,0.709881,8.151060,5.548563,9.885861,55.856853,85.022636
1.9200679,0.732626,8.196549,5.538986,9.919704,56.056015,84.892349
1.9299229,0.730232,8.242040,5.516241,9.944514,56.309818,84.936905
1.9398839,0.751779,8.285135,5.500679,9.973269,56.527122,84.815277
1.9503059,0.757765,8.298303,5.494693,9.981367,56.599018,84.782471
1.9600189,0.711078,8.315063,5.531803,10.012329,56.461369,85.112137
1.9698759,0.673968,8.337808,5.537788,10.031967,56.494694,85.378670
1.9803399,0.644040,8.350976,5.537788,10.040951,56.528622,85.589989
1.9899189,0.627281,8.321048,5.525817,10.008395,56.487545,85.688919
2.0005240,0.594959,8.277952,5.509058,9.961334,56.423889,85.889061
2.0100060,0.557849,8.220491,5.470751,9.890237,56.416847,86.117813
2.0198858,0.550666,8.179790,5.418078,9.826891,56.540165,86.148636
2.0300491,0.569820,8.148665,5.376180,9.778996,56.648895,85.999931
2.0399799,0.597353,8.166622,5.340267,9.775940,56.888760,85.816513
2.0501530,0.641646,8.191761,5.298368,9.776981,57.185375,85.521271
2.0600979,0.658405,8.204929,5.312734,9.796913,57.160572,85.412125
2.0698690,0.681150,8.221688,5.316325,9.814450,57.201694,85.263977
2.0799448,0.699107,8.227674,5.359420,9.844123,57.014389,85.143234
2.0898969,0.691924,8.196549,5.392939,9.835954,56.750332,85.174728
2.1000249,0.681150,8.152257,5.456386,9.833382,56.297279,85.223824
2.1098800,0.681150,8.128315,5.501875,9.838908,55.999805,85.209824
2.1200728,0.711078,8.131907,5.529409,9.859406,55.887077,85.002602
2.1299040,0.755371,8.173804,5.541380,9.903967,55.978004,84.720085
2.1401730,0.802058,8.224083,5.524621,9.939833,56.233738,84.429817
2.1498759,0.848745,8.234857,5.538986,9.960602,56.214214,84.115456
2.1601961,0.849942,8.231265,5.547365,9.962399,56.163128,84.104660
