Keuwl Accelerometer Data File
2019-06-26 16-16-02

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.1304860,6.027403,7.897274,0.241814,9.937555,88.605659,52.648197
1.1401060,6.042965,7.916428,0.203507,9.961359,88.829384,52.643879
1.1501410,6.019023,7.862558,0.162806,9.903280,89.058037,52.564865
1.1605049,5.998672,7.796718,0.141258,9.838334,89.177322,52.425880
1.1710709,5.981913,7.741651,0.191536,9.785353,88.878433,52.307018
1.1811950,5.954380,7.752425,0.246603,9.778320,88.554886,52.473331
1.1909990,5.955577,7.800309,0.253785,9.817236,88.518684,52.638077
1.2003480,5.971139,7.880515,0.234632,9.889998,88.640579,52.848454
1.2101690,5.991490,7.949947,0.193930,9.956767,88.883965,52.996437
1.2213329,6.041768,7.996634,0.175974,10.023975,88.994102,52.927532
1.2305770,6.050148,7.994239,0.169988,10.027016,89.028618,52.881073
1.2404170,6.030994,7.960721,0.186748,9.989036,88.928780,52.852650
1.2499950,6.017826,7.893683,0.216675,9.928313,88.749481,52.679562
1.2599829,5.996278,7.842207,0.287304,9.876139,88.332985,52.597889
1.2700970,5.961562,7.820660,0.365116,9.840541,87.873657,52.682312
1.2801250,5.963956,7.830236,0.363919,9.849559,87.882568,52.705025
1.2902189,6.013038,7.851785,0.288501,9.893957,88.329056,52.554459
1.3002440,6.025009,7.825448,0.233435,9.878909,88.645996,52.406422
1.3104960,6.003461,7.807492,0.174777,9.850331,88.983337,52.442024
1.3207630,6.020220,7.784747,0.154426,9.842215,89.100983,52.283951
1.3313390,6.041768,7.782352,0.134075,9.853220,89.220337,52.176304
1.3400949,6.021417,7.783550,0.169988,9.842256,89.010376,52.274174
1.3500710,5.992687,7.789535,0.184354,9.829707,88.925369,52.428005
1.3610829,5.975927,7.770381,0.191536,9.804449,88.880623,52.437382
1.3706319,5.946000,7.767987,0.160412,9.783776,89.060555,52.567780
1.3801720,5.925649,7.802703,0.168791,9.799183,89.013031,52.785675
1.3904110,5.985504,7.846996,0.174777,9.870773,88.985443,52.664467
1.4001039,6.011840,7.906851,0.211887,9.935061,88.777946,52.753071
1.4107701,6.040571,7.935582,0.198719,9.975041,88.858498,52.721581
1.4201080,6.045359,7.911640,0.184354,9.958634,88.939285,52.616211
1.4299940,6.046556,7.874529,0.215478,9.930533,88.756668,52.480690
1.4400010,6.025009,7.842207,0.269348,9.893104,88.439880,52.465660
1.4505949,6.002264,7.806294,0.298078,9.851612,88.266151,52.443298
1.4602449,5.962759,7.742848,0.304064,9.777456,88.217903,52.400169
1.4701080,5.955577,7.734468,0.302867,9.766402,88.222916,52.403561
1.4801849,5.968745,7.756016,0.308852,9.791685,88.192459,52.419445
1.4900270,5.967548,7.806294,0.293290,9.830356,88.290321,52.603775
1.5002310,5.995081,7.836222,0.199916,9.868503,88.839226,52.582298
1.5104640,5.989096,7.833828,0.146046,9.862021,89.151482,52.601467
1.5200330,5.929241,7.835025,0.143652,9.826706,89.162392,52.882988
1.5307480,5.923255,7.854179,0.179565,9.838969,88.954269,52.978107
1.5401160,5.975927,7.832631,0.179565,9.853632,88.955826,52.658077
1.5501629,5.940014,7.773973,0.248997,9.786748,88.542107,52.616920
1.5601920,5.924452,7.759608,0.241814,9.765712,88.581123,52.638306
1.5700771,5.908890,7.770381,0.227449,9.764504,88.665260,52.749279
1.5801520,5.929241,7.805098,0.220267,9.804282,88.712662,52.777420
1.5908650,5.965154,7.826645,0.219069,9.843141,88.724716,52.686810
1.6006570,5.981913,7.832631,0.235829,9.858448,88.629265,52.630413
1.6102710,5.991490,7.862558,0.244209,9.888247,88.584831,52.691582
1.6199570,6.008249,7.888895,0.227449,9.918944,88.686050,52.706795
1.6305099,5.991490,7.869741,0.222661,9.893450,88.710396,52.716801
1.6399509,5.966351,7.838616,0.268151,9.854601,88.440750,52.723480
1.6500419,5.954380,7.821857,0.300472,9.834956,88.249260,52.719837
1.6600009,5.975927,7.799112,0.277727,9.829292,88.380890,52.539516
1.6706539,5.965154,7.751228,0.295684,9.785295,88.268417,52.419006
1.6799929,5.944803,7.739257,0.293290,9.763339,88.278580,52.470833
1.6904010,5.975927,7.756016,0.271742,9.794965,88.410240,52.386135
1.7002100,6.002264,7.809886,0.245406,9.853005,88.572807,52.456032
1.7108150,5.989096,7.851785,0.232238,9.877941,88.652809,52.664745
1.7202009,5.997475,7.891289,0.192733,9.913591,88.886024,52.764725
1.7300680,6.004658,7.888895,0.203507,9.916248,88.824059,52.723305
1.7402580,5.980716,7.875727,0.233435,9.891942,88.647781,52.787476
1.7500669,5.957971,7.849391,0.239420,9.857367,88.608238,52.800186
1.7600579,5.973533,7.821857,0.247800,9.845098,88.557716,52.631115
1.7704130,5.995081,7.788338,0.259771,9.831922,88.486000,52.412685
1.7807089,5.995081,7.770381,0.274136,9.818094,88.400009,52.348743
1.7907320,6.002264,7.803900,0.256180,9.848536,88.509460,52.434807
1.8013629,6.052542,7.837419,0.195127,9.904366,88.871132,52.322453
1.8108640,6.084864,7.841011,0.198719,9.927059,88.852982,52.187443
1.8200330,6.070498,7.813477,0.243011,9.897496,88.593086,52.155415
1.8304850,6.034585,7.799112,0.269348,9.864833,88.435410,52.268982
1.8401589,6.023811,7.785944,0.250194,9.847326,88.544113,52.271679
1.8505030,6.004658,7.782352,0.272939,9.833383,88.409470,52.347168
1.8601620,6.010643,7.807492,0.298078,9.857668,88.267212,52.408913
1.8704931,6.019023,7.821857,0.266953,9.873264,88.450645,52.421242
1.8800240,6.013038,7.837419,0.211887,9.880620,88.771217,52.503799
1.8910760,5.984307,7.827842,0.185551,9.855023,88.921173,52.602451
1.9001309,5.962759,7.819463,0.221464,9.836033,88.709846,52.672539
1.9104180,5.936423,7.826645,0.233435,9.826087,88.638718,52.820087
1.9201119,5.935226,7.862558,0.226252,9.853827,88.684326,52.951866
1.9301920,5.938818,7.902063,0.205901,9.887090,88.806717,53.073204
1.9400749,5.944803,7.920019,0.180762,9.904548,88.954269,53.107941
1.9506760,5.962759,7.896077,0.180762,9.896222,88.953392,52.941551
1.9600290,5.995081,7.846996,0.226252,9.877628,88.687500,52.620285
1.9710829,5.990293,7.795521,0.304064,9.835964,88.228508,52.460335
1.9800469,5.979519,7.769185,0.345962,9.809922,87.978958,52.416477
1.9901220,5.979519,7.760805,0.318429,9.802353,88.138420,52.386585
2.0000620,5.965154,7.729680,0.292093,9.768128,88.286453,52.341888
